,제목,내용,링크
0,"금감원 공문 믿었는데…그마저 보이스피싱, 피해 속출","금감원은 9일 최근 불법 주식 리딩방으로 인한 투자 손실을 보상해주겠다고 접근한 뒤 가상자산 투자 명목으로 돈을 가로채는 사기 업체가 있다며 조심할 것을 당부했다.금감원은 소비자경보 '주의'를 발령하며 ""과거 금융투자상품의 투자 손실을 보상해 주겠다며 금융위나 금감원이 명시된 공문 등을 제시하며 접근하는 업체는 불법 업체일 가능성이 매우 높다""고 경고했다.이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.[아이뉴스24 이정민 기자] 금감원은 9일 최근 불법 주식 리딩방으로 인한 투자 손실을 보상해주겠다고 접근한 뒤 가상자산 투자 명목으로 돈을 가로채는 사기 업체가 있다며 조심할 것을 당부했다.금감원은 소비자경보 '주의'를 발령하며 ""과거 금융투자상품의 투자 손실을 보상해 주겠다며 금융위나 금감원이 명시된 공문 등을 제시하며 접근하는 업체는 불법 업체일 가능성이 매우 높다""고 경고했다.또한 ""금융당국 명의의 가짜 문서를 제시하는 것으로 의심되는 경우 절대 거래하지 말고 금감원에 신속히 신고 또는 상담을 요청해야 한다""고 당부했다.금감원에 따르면 최근 주로 카카오톡 대화방 등 사회관계망서비스(SNS)를 통해 금융위원회나 금감원 등 금융당국 명의의 가짜 공문서를 보내며 소비자들을 현혹하는 경우가 잇따르고 있다.이들 공문 중엔 '이복현 금융감독원 위원장'이란 가짜 직함이 적혀 있는 등 허술한 내용 투성이였지만 투자 손실금을 만회하겠다는 생각에 사로잡힌 이들은 이를 진짜 공문으로 믿었다. 또한 유명 증권사의 상호·상표를 무단으로 사용하거나, 증권사와 제휴한 것처럼 속이는 경우도 많았다.이들 사기업체는 원금보장 등을 약속하면서 가짜 가상자산 투자를 유도한 뒤 투자자들의 돈을 가로챘다. 이들은 ""금융감독원 권고로 손실을 보상하겠다""면서 금감원 명의의 공문을 발송하고, 최대 5천만원의 피해보상금 지급을 보장하는 등의 내용을 전했다. 이를 믿은 소비자들은 이후 담당자의 권유로 가상자산 투자금을 입금해 이를 갈취당했다.▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶재밌는 아이뉴스TV 영상보기▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]Copyright ⓒ 아이뉴스24. 무단전재 및 재배포 금지 ",https://v.daum.net/v/20230309215603351
1,"네타냐후, 시위대 도로 차단에 헬기로 공항 이동","9일 이탈리아 공식 방문에 나서기로 한 베냐민 네타냐후 이스라엘 총리가 자신의 사법 개혁 추진에 반대하는 시위대가 벤구리온 공항으로 향하는 고속도로를 차단함에 따라 차량으로 이동하는 것이 불가능해져 결국 헬리콥터 편으로 공항에 도착해야 했다고 AP 통신과 BBC 등 외신들이 전했다.이스라엘 시위대는 이날 네타냐후 총리의 이탈리아 방문 및 로이드 오스틴 미 국방장관의 이스라엘 방문을 앞두고 벤구리온 공항으로 가는 길을 차단하는 등 정부의 사법 개혁 추진에 대한 반대를 더욱 강화했다.이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.기사내용 요약 사법 개혁 반대 시위대, 訪伊 막으로 공항가는 고속도로 차단[서울=뉴시스]유세진 기자 = 9일 이탈리아 공식 방문에 나서기로 한 베냐민 네타냐후 이스라엘 총리가 자신의 사법 개혁 추진에 반대하는 시위대가 벤구리온 공항으로 향하는 고속도로를 차단함에 따라 차량으로 이동하는 것이 불가능해져 결국 헬리콥터 편으로 공항에 도착해야 했다고 AP 통신과 BBC 등 외신들이 전했다.이스라엘 시위대는 이날 네타냐후 총리의 이탈리아 방문 및 로이드 오스틴 미 국방장관의 이스라엘 방문을 앞두고 벤구리온 공항으로 가는 길을 차단하는 등 정부의 사법 개혁 추진에 대한 반대를 더욱 강화했다.두 달 넘게 사법 개혁 반대 시위를 벌여온 시위대는 9일을 '독재에 대한 저항의 날'로 선포하고 새로운 시위를 시작했다. 이스라엘 전국에서 학부모와 아이들이 시위에 참가했고, 패들보드와 카약 등의 선단이 북부 도시 하이파의 주요 해상 운송 차단에 나섰다. 시위대는 사법 개혁을 지지하는 보수 성향의 싱크탱크 사무실에 바리케이드를 치기도 했다.네타냐후 총리의 사법 개혁을 둘러싼 소동은 이스라엘을 최악의 국내 위기 중 하나로 몰아넣었다. 거리에서의 폭력적 시위 발생 외에도, 재계 지도자와 법률 관계자들이 사법 개혁이 파멸적인 영향을 부를 것이라고 반대하는 등 사회 전반에서 반대가 커지고 있다. 이스라엘 군도 전례 없이 반대 목소리에 동참했다.오랜 정치적 교착 끝에 지난해 12월 취임한 네타냐후 총리와 그의 동맹들은 사법 개혁은 권한을 남용한 법원을 통제하기 위한 것이라고 말하지만 비평가들은 견제와 균형의 시스템을 뒤엎고 이스라엘을 권위주의로 몰아갈 것이라고 말한다.이들은 또 부정부패 혐의로 재판을 받는 네타냐후 총리가 개인적 불만에 사로잡혀 사법 개혁을 통해 혐의에서 벗어날 탈출구를 찾으려 한다고 비난한다.사비온 오르라는 이름의 시위자는 ""이스라엘은 독재국가가 될 위기에 처해 있다. 현 정부는 우리의 민주주의를 파괴하고, 실제로 나라를 파괴하고 있다""고 말했다.시위대는 네타냐후 총리가 공항으로 이동하는 것을 막기 위해 벤구리온 공항으로 이르는 고속도로를 저속 주행하는 차량들로 메워 이동을 어렵게 만들었다.한편 로이드 오스틴 미 국방장관의 8일 이스라엘 방문도 시위로 영향을 받고 있다. 익명을 요구한 이스라엘 관계자는 오스틴 장관과 이스라엘 관리 간 회의 장소가 당초 예정됐던 텔아비브의 국방부 인근에서 공항 근처로 바뀌었다고 말했다.☞공감언론 뉴시스 dbtpwls@newsis.com ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지",https://v.daum.net/v/20230309222307541
2,한물간 페이스북?…월 이용자 수 1000만명 무너졌다,"이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.한때 국내 사회관계망서비스(SNS) 업체 1위에 올랐던 페이스북의 국내 월 이용자가 감소세를 보이며 지난달 결국 1000만명 아래로 떨어졌다. 반면 청소년 등 젊은층은 1800만명을 훌쩍 넘긴 인스타그램 같은 대체재로 옮겨가고 있다. 정보기술(IT) 업계는 SNS에서 콘텐츠를 소비하는 방식이 텍스트 대신 이미지와 짧은 영상(쇼트폼) 중심으로 바뀐 데 따른 결과로 보고 있다.9일 빅데이터 분석 솔루션 모바일인덱스에 따르면 페이스북의 지난달 구글 플레이스토어·애플 앱스토어 합산 국내 월간 활성 이용자(MAU)는 979만5810명이었다. 모바일인덱스가 양대 앱 마켓 합산 분석을 시작한 2020년 5월 이래 페이스북 월 이용자가 1000만명에 미치지 못한 것은 처음이다. 지난 1월에는 1005만6845명이었으나, 한 달 만에 26만여명(2.6%)이 빠졌다.지난달 이용자는 1년 전(2022년 2월) 이용자 1169만7509명보다 약 16.3%, 2년 전(2021년 2월) 1290만9463명보다는 약 24.1% 감소한 수치다. 2021년 8월 1341만7369명을 기록한 뒤 18개월 연속 줄었다.페이스북의 이용 감소는 짧은 글이나 영상·이미지 등이 강점인 인스타그램과 유튜브, 틱톡, 핀터레스트 등 경쟁사들의 인기가 높아지고 있는 것과 무관치 않다. 페이스북 이용자가 줄면서 지인의 소식이 올라오던 페이스북 뉴스피드에 광고·홍보성 게시글이 대신 뜨면서 이용자들이 이탈하는 악순환이 반복됐다.실제로 10대들은 인스타그램으로 많이 넘어갔다. 한국언론진흥재단 조사에 따르면 2019년 페이스북 이용 경험이 있는 초·중·고생은 80.3%에 달했으나, 지난해에는 46.1%로 급감했다. 반대로 인스타그램 이용 경험이 있는 이들의 비율은 81.6%를 기록해 2019년 조사 때보다 20.6%포인트 올랐다. 트위터는 25.3%에서 21.9%로 소폭 줄었고, 핀터레스트는 2.5%에서 12.1%로 뛰었다.메신저 중 페이스북 메신저 이용 경험이 있는 초·중·고생 비율은 2019년 56.1%에서 지난해 30%로 크게 줄었다. 같은 기간 인스타그램 다이렉트 메시지(DM)를 이용한 비율은 20%에서 52.3%로 2배 넘게 증가했다. 모바일인덱스에 따르면 인스타그램 월 이용자는 2021년 2월 1729만7080명에서 꾸준히 늘어 지난달 1852만8538명으로 7%가량 성장했다.업계 관계자는 “SNS 특성상 남아있는 이용자가 적으면 기존 이용자들도 더 많은 소통을 위해 이사를 가기 때문에 페이스북으로서는 특단의 조치가 없는 한 당분간 감소세가 이어질 것으로 보인다”고 말했다. 다만, 페이스북도 지난해 2월 쇼트폼 플랫폼인 릴스를 도입하고, 콘텐츠를 추천하는 인공지능 디스커버리 엔진 등의 기능을 접목해 다시 인기를 회복할 가능성도 있다.김은성 기자 kes@kyunghyang.comⓒ 경향신문 & 경향닷컴(www.khan.co.kr), 무단전재 및 재배포 금지 ",https://v.daum.net/v/20230309221742509
3,"이스라엘·팔레스타인, 2006년 이후 충돌 최다… 올 사망자 100명 육박","이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.이스라엘과 팔레스타인 분쟁 지역에서 최근 유혈 충돌이 잇따르며 양측에서 사상자가 급증하고 있다. 7일(현지 시각) 이스라엘군이 요르단강 서안지구 제닌 난민촌에서 수색 작전을 펼치는 과정에서 팔레스타인 주민 사이에 공방이 이어져 주민 최소 6명이 숨지고 11명이 다쳤다고 타임스 오브 이스라엘 등이 보도했다.이번 수색 작전은 지난달 인근 마을에서 벌어진 이스라엘 형제 사망 사건의 범인을 색출하기 위한 것으로, 이스라엘군이 군용 차량과 헬리콥터 등을 투입해 현장이 군사작전을 방불케 했다고 외신은 전했다.8일에는 이스라엘 가자지구 서쪽 경계 지역에서 팔레스타인 주민들이 이스라엘 군용 차량에 사제 폭발물을 터뜨렸다고 이스라엘 방위군(IDF)이 밝혔다. 인명 피해는 없었지만, IDF는 분리 장벽에 배치한 탱크를 동원해 가자지구 내 반(反)이스라엘 무장단체 ‘하마스’ 감시 초소를 포격하며 맞대응했다.유대인 명절 ‘부림절(Purim)’인 6일에는 이스라엘 정착촌 주민과 팔레스타인 주민들 간 충돌로 5명이 다쳤다. 지난달 22일에는 같은 곳에서 팔레스타인 무장단체 대원으로 추정된 남성의 총격으로 이스라엘인 2명이 숨졌다. AFP통신 등은 “양측 갈등이 연초부터 위험한 수위로 치솟고 있다”고 전했다. 타임스 오브 이스라엘에 따르면, 올 들어 서안지구에선 이스라엘군에 의해 팔레스타인 주민 70명 이상이 숨졌다. 팔레스타인 공격으로 사망한 이스라엘인은 최소 14명이다. 중동 매체 알자지라는 올 초부터 이스라엘 정착촌 주민과 관련된 폭력 사건이 하루 평균 세 건에 달했다고 전했다. 2006년 이후 일일 평균으로 최고치였다.ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지",https://v.daum.net/v/20230309205403551
4,교육위서 '정순신 아들 학폭' 질타…학폭 기록 삭제 문제 제기,"국회에서는 교육위원회 전체회의가 열렸는데 국가수사본부장으로 임명됐다가 하루만에 사퇴한 정순신 변호사 아들의 학폭 논란이 집중 질타를 받았습니다.민주당은 정 변호사 아들이 졸업하기 직전, 반포고등학교에서 학폭 기록을 삭제한 것을 비판했습니다.반포고는 정 변호사 아들 졸업 직전, 학부모와 외부 위원이 포함된 학폭자치위에서 만장일치로 기록 삭제를 결정했다고 해명했지만, 야당 의원들은 석연치 않다고 따졌습니다.이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.<앵커>국회에서는 교육위원회 전체회의가 열렸는데 국가수사본부장으로 임명됐다가 하루만에 사퇴한 정순신 변호사 아들의 학폭 논란이 집중 질타를 받았습니다. 아들이 다녔던 민사고, 반포고 교장은 물론, 입학한 걸로 알려진 서울대 입학본부장도 출석했습니다.원종진 기자입니다.<기자>국회 교육위 전체회의는 학교 폭력 문제의 심각성을 지적하는 교육위원장의 발언으로 시작됐습니다.[유기홍/국회 교육위원장 : 학교폭력의 고통은 스스로 목숨을 끊을 만큼 치명적이고, (드라마) '더 글로리' 주인공 동은의 온몸에 아로새겨진 화상자국처럼….]민주당은 정 변호사 아들이 졸업하기 직전, 반포고등학교에서 학폭 기록을 삭제한 것을 비판했습니다.반포고는 정 변호사 아들 졸업 직전, 학부모와 외부 위원이 포함된 학폭자치위에서 만장일치로 기록 삭제를 결정했다고 해명했지만, 야당 의원들은 석연치 않다고 따졌습니다.[문정복/민주당 교육위원 : 외부 위원들을 통해서 정 군의 기록 삭제를 도왔을 개연성에 대해 합리적인 의심을 하지 않을 수 없습니다.]국민의힘은 정 변호사 아들의 학폭 전력과 정 변호사의 대응을 한목소리로 질타하면서도 야당이 사안을 정치공세의 재료로 지나치게 이용한다고 꼬집었습니다.[서병수/국민의힘 교육위원 : 다시는 이런 일이 일어나지 않을 수 있는가에 대해 논의하기 위해 모인 것 아니겠습니까? (그런데) 마치 개인을 공격하거나 특정 정파를 공격하거나….]정 변호사 아들이 입학한 걸로 알려진 서울대에 대해서는 국회에 자료 제출을 제대로 하지 않는다는 비판도 나왔습니다.(영상취재 : 김학모, 영상편집 : 박지인)원종진 기자bell@sbs.co.kr저작권자 SBS & SBS Digital News Lab 무단복제-재배포 금지",https://v.daum.net/v/20230309170611687
5,경로를 이탈한 비행기 조종사가 칭찬받은 이유,"이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.자신이 탄 비행기가 경로를 이탈해 간다면 마음이 편할 이는 없을테다. 최근 경로를 이탈했는데도 불구하고 승객들에게 호응을 받은 조종사가 있어 화제다.오로라는 비행기 좌측에 펼쳐졌고 오른쪽 자리에 앉은 승객들은 멀리서 바라봐야만 했다. 이를 본 조종사는 오른쪽 자리에 앉은 승객들도 오로라를 볼 수 있도록 비행기를 회전했다. 이 때문에 도착 시간은 예정보다 10분 늦어졌다. 하지만 승객들은 “10분보다 더 값진 시간이었다”며 조종사를 칭찬했다.그로브스는 “오로라를 보는 것을 체념하고 비행기에 탑승했는데 친절한 조종사 덕분에 인생 최고의 오로라를 구경했다”고 기뻐했다.해당 내용이 화제가 되자 이지젯 측은 “우리는 항상 고객을 위해 최선을 다할 것”이라며 “승객들에게 특별한 광경을 보여줄 수 있어 기쁘다”고 말했다.ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지",https://v.daum.net/v/20230309221800511
6,"마카롱 택시, 파산 수순 밟는다","이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.9일 김충식 마카롱 택시 대표는 매일경제와의 통화에서 “지난달 28일 서울회생법원에 마카롱 택시 파산 신청서가 제출됐다”고 밝혔다. 그러면서 김 대표는 임금 구조의 문제점, 요금 정책의 문제점 등을 비롯해 법인 택시 사업의 문제점을 조목조목 따졌다. 마카롱택시 모기업인 KST모빌리티도 조만간 파산 절차에 들어갈 것으로 보인다.앞서 법인택시 회사들의 경영 악화는 지난해 심야 택시 승차난의 주요 원인으로 지목되기도 했던 현상이다. 사납금제가 폐지되고 2020년부터 택시 월급제가 운영되기 시작하면서 능력과 성과에 따라 급여를 올려 받을 수 있었던 유인이 사라지면서 택시 기사들이 배달, 택배 등으로 유출되는 현상이 발생했다.여기에 코로나19로 인한 승객 감소까지 겹치며 상황은 더욱 악화됐다. 코로나19로 인한 거리두기 해제가 시행되기 이전인 지난해 1월말 기준 2년간 법인택시 기사는 9400명이 감소한 바 있다.이에 서울시는 이같은 현상을 해결하기 위해 법인택시 기사 1인당 50만원을 지원하겠다는 해결책을 놨다. 그러나 이마저도 지난해 11월 전국적으로 개인택시 부제 해제가 진행되면서 법인택시 회사들의 수입은 늘어나기 어려운 상황에 놓였다.ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지",https://v.daum.net/v/20230309220000387
7,"전세계 바다 떠도는 미세플라스틱 입자 230만t…""청소 불가능""","전세계 바다에 2019년 기준으로 미세플라스틱 입자가 170조개 이상으로 무게로는 230만톤(t)이 떠다니고 있다는 연구 결과가 나왔다.연구자들은 획기적인 정책 변화 없이 청소로는 대응이 불가능하다고 경고하고 있다.연구팀은 1979년부터 2019년까지 북대서양, 남대서양, 북태평양, 남태평양, 인도양, 지중해 등 6개 해양 지역의 1만1777개 관측소에서 수집된 해수면 플라스틱 입자 데이터를 분석했다.이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.전세계 바다에 2019년 기준으로 미세플라스틱 입자가 170조개 이상으로 무게로는 230만톤(t)이 떠다니고 있다는 연구 결과가 나왔다. 연구자들은 획기적인 정책 변화 없이 청소로는 대응이 불가능하다고 경고하고 있다.8일(현지시각) 해양 플라스틱 오염의 심각성을 알리기 위해 설립된 비영리기관인 5대 환류대 연구소(5 Gyres Institute)의 연구팀은 이같은 내용을 담은 논문을 과학저널 프로스원(PLOS One)에 발표했다.연구팀은 1979년부터 2019년까지 북대서양, 남대서양, 북태평양, 남태평양, 인도양, 지중해 등 6개 해양 지역의 1만1777개 관측소에서 수집된 해수면 플라스틱 입자 데이터를 분석했다.연구팀에 따르면, 전 세계 해양에서 플라스틱 양과 표층 플라스틱 분포가 극적으로 증가 추세를 보인 것은 2006년부터다.2019년 기준으로 조사 대상 6개 해양 지역에 떠다니는 플라스틱 입자는 개수로는 82조~358조 개(평균 171조 개), 질량으로는 110만~490만 톤(평균 230만 톤)에 이르는 것으로 추산됐다.연구팀은 최근의 급증세가 플라스틱 생산의 전 세계적인 증가와 폐기물 발생 및 관리의 변화를 반영한다고 진단했다. 이들은 획기적이고 광범위한 정책 변화가 없다면, 2016년부터 2040년까지 플라스틱이 바다로 유입되는 속도가 약 2.6배로 증가할 것이라고 경고했다.논문은 해양 플라스틱 쓰레기가 급증함에 따른 생태적, 사회적, 경제적 피해를 최소화하기 위해서는 긴급한 국제적인 정책 개입이 필요하다고 밝히고 있다.연구소의 공동창립자 마커스 에릭슨 박사는 ""우리가 당장 글로벌 규모에서 행동을 개시해야 한다는 엄중한 경고""라며 ""문제를 발생 단계부터 차단하기 위해 강력하고 법적 구속력이 있는 유엔 글로벌 조약이 필요하다""고 강조했다.그는 ""우리가 현재 추세대로 플라스틱을 계속 생산한다면 청소로는 대응이 불가능하다""며 ""플라스틱 재활용 등 조치가 필요하다""고도 덧붙였다.김준란 기자 loveways12@asiae.co.kr<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",https://v.daum.net/v/20230309215509334
8,"[단독]“STO·코인 증권성 논의”…금감원, 美 SEC 출장 타진","금융감독원이 미국 증권거래위원회(SEC)와의 금융감독 협의를 위해 미국 출장을 타진 중인 것으로 확인됐다.가상자산과 토큰증권발행(STO) 관련해 증권성을 어떻게 판단할지 관련 가이드라인을 만들면서 해외 사례를 참조하기 위해서다.이후 시장에서는 STO 관련해 앞으로 발행되는 토큰증권의 증권성 여부를 어떻게 판별할지, 현재 가상자산거래소에 상장돼 있는 코인의 증권성은 어떻게 봐야할지 관심이 쏠렸다.이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다. [이데일리 최훈길 이용성 기자] 금융감독원이 미국 증권거래위원회(SEC)와의 금융감독 협의를 위해 미국 출장을 타진 중인 것으로 확인됐다. 가상자산과 토큰증권발행(STO) 관련해 증권성을 어떻게 판단할지 관련 가이드라인을 만들면서 해외 사례를 참조하기 위해서다. 검토 결과가 STO 사업에 뛰어드는 증권사, 조각투자·블록체인 기업이나 가상자산거래소에 영향을 끼칠 것으로 보여 주목된다. 9일 이데일리 취재 결과 금감원은 이르면 다음 달에 미국 워싱턴 소재 SEC를 방문하는 일정을 SEC와 협의하고 있다. 금감원 단독으로 SEC와의 금융감독 대면 협의를 추진하는 것은 새정부 출범 이후 처음이다. 금감원 관계자는 “현안은 증권성 판단”이라며 “SEC가 증권성 판단을 어떻게 하고, 관련 쟁점에 어떻게 대응하는지 등을 살펴보려고 한다”고 말했다. 앞서 금융위원회는 지난달 5일 ‘디지털 자산 인프라 및 규율체계 구축’ 국정과제를 반영해 ‘토큰 증권 발행·유통 규율체계 정비방안’을 발표했다. 이후 시장에서는 STO 관련해 앞으로 발행되는 토큰증권의 증권성 여부를 어떻게 판별할지, 현재 가상자산거래소에 상장돼 있는 코인의 증권성은 어떻게 봐야할지 관심이 쏠렸다. 이에 금감원은 ‘증권성 판단지원 태스크포스(TF)’를 구성하고 두 갈래로 후속조치를 추진 중이다. 우선 금감원은 STO 관련 투자계약증권 증권신고서 제출에 대비해 세부 심사기준을 마련하고 필요할 경우 서식 개정을 추진할 계획이다. 금융위가 올해 상반기에 STO 법안(자본시장법·전자증권법 개정안)을 국회에 제출하는 일정에 맞춰, 금감원도 관련 준비에 나서는 것이다. 아울러 금감원은 코인 증권성 관련해 후속조치도 준비 중이다. 준비 내용은 △가상자산의 증권성 점검을 위한 체크리스트 마련 △업계 질의사항 검토 △가상자산의 기술적 특성과 증권 개념의 연계성 검토 △사례별 증권성 검토의견 마련 등이다. 금감원은 지난달에 두나무, 빗썸, 코인원, 코빗, 고팍스 등 5대 가상자산거래소가 참석한 가운데 ‘토큰 증권 가이드라인’ 설명회를 열기도 했다. 이같은 증권성 판단 업무를 진행 중인 금감원은 관련해 SEC와 협의를 하고, 최근 SEC의 결정에 대해서도 논의할 것으로 보인다. 최근 SEC는 미국 대형 가상자산 거래소 크라겐의 스테이킹 서비스가 미등록증권에 해당한다며 서비스 중지를 명령하고 벌금 3000만달러(약 396억원)를 부과했다. 리플 경영자들을 증권법 위반 혐의로 고소하기도 했다. 올해 상반기에 법원의 관련 판결이 나올 예정이다. 이정엽 블록체인법학회장은 “STO 후속조치, 증권성 판단을 위해 미국 등 글로벌 사례를 참조하는 것은 당연히 필요하다”며 “미국의 스테이블코인 제재, 리플 소송 결과가 앞으로 국내 가상자산의 증권성 판단 기준을 마련할 때 영향을 줄 것으로 보여 주목된다”고 지적했다.최훈길 (choigiga@edaily.co.kr) ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지 ",https://v.daum.net/v/20230309180926693
9,“2023년 집값 더 내려갈 것… 부동산PF 리스크 관리 시급”,"이 글자크기로 변경됩니다.(예시) 가장 빠른 뉴스가 있고 다양한 정보, 쌍방향 소통이 숨쉬는 다음뉴스를 만나보세요. 다음뉴스는 국내외 주요이슈와 실시간 속보, 문화생활 및 다양한 분야의 뉴스를 입체적으로 전달하고 있습니다.급격히 오른 대출금리와 시장의 주택가격 하락 기대감 등으로 올해 부동산 가격이 더 내려갈 것이라는 한국은행의 전망이 나왔다. 부동산 부문의 부진이 심화·장기화할 경우 금융시스템 불안 요인으로 작용할 수 있는 만큼, 부동산 프로젝트파이낸싱(PF) 금융 구조조정 등 리스크 관리가 시급하다는 지적이다.보고서는 “고위험 사업장에 대한 익스포저(위험 노출)가 높은 비은행 금융기관을 중심으로 증가한 부동산PF 대출이 부실화할 경우, 시장 전반으로 확산되기 쉽다”며 “관련 리스크에 유의할 필요가 있다”고 강조했다. 실제 금융기관 업무보고서 등에 따르면, 비은행권의 PF대출 잔액은 2020년 61조9000억원에서 2021년 74조6000억원, 지난해 85조8000억원 등으로 빠르게 늘어난 상황이다.한은은 주택시장 부진 외에도 물가 경로상의 높은 불확실성과 지속되는 성장세 둔화, 주요국 통화정책 관련 불확실성 등을 통화정책 운영 시 주요 고려사항으로 짚었다. 한은은 “국내 경제 성장률이 낮아지겠지만, 물가가 목표 수준(2%)을 크게 상회하는 높은 오름세를 지속할 것으로 전망되고 정책 여건의 불확실성도 큰 만큼, 물가 안정에 중점을 두고 긴축기조를 상당 기간 이어가며 기준금리 추가 인상 필요성을 판단할 필요가 있다”고 밝혔다.이강진·이도형 기자ⓒ 세계일보 & Segye.com, 무단 전재 및 재배포 금지",https://v.daum.net/v/20230309210343722
