,제목,내용,링크
0,"[오~컬쳐]데드사이드클럽, 기존 슈팅게임과 어떻게 다를까",데브시스터즈가 선보인 온라인 슈팅 게임 '데드사이드클럽'은 지금까지 데브시스터즈가 선보인 게임과 결을 달리한다. 앞서 2013년 '쿠키런 for Kakao'를 시작으로 2021년 '쿠키런: 킹덤'을 통해 캐주얼 장르,https://n.news.naver.com/article/293/0000042715
1,<속보>위태로운 부산 성동초 등굣길 개선 속도낸다,부산시교육청과 남구 남부서가 좁은 양방향 도로에 차와 보행자가 뒤섞여 위험한(국제신문 지난 3일 온라인 보도) 부산 남구 성동초 통학로 개선에 나선다. 부산시교육청은 유관 기관 합동으로 9일 오전 남구 성동초에서 통,https://n.news.naver.com/article/658/0000035097
2,"합참 ""北, 서해 방향으로 단거리 탄도미사일 1발 발사""","합동참모본부는 북한이 오늘(9일) 저녁 6시 20분쯤 남포 일대에서 서해 방향으로 단거리 탄도 미사일 1발을 발사했다고 밝혔습니다. 군 당국은 정확한 비행 거리와 고도, 속도 등 제원을 분석하고 있습니다. 군 관계자",https://n.news.naver.com/article/052/0001858839
3,"“16명 죽인 애들, 북송 의견으로 해” 그날, 서훈의 발언","탈북 어민 강제북송 사건 때 서훈 당시 국가정보원장이 ‘어민 상대 강제수사가 필요하다’는 실무진 보고를 묵살하고, 북송을 기정사실화하는 내용으로 보고서를 수정하라고 지시한 것으로 조사됐다. 문재인정부 안보라인 책임자",https://n.news.naver.com/article/005/0001592397
4,모델로 마동석 세우고 한국에 1000억 쓰겠다는 '이 회사',“알리익스프레스 프사(프로필 사진)로 마동석 사진을 걸었더니 마음이 든든하다” 해외 직구 플랫폼 알리익스프레스의 상품평 페이지에는 배우 마동석 사진을 프로필에 걸어둔 한국인을 곳곳에서 찾을 수 있다. 주얼리부터 가전,https://n.news.naver.com/article/011/0004165202
5,그냥 아픈줄 알았는데 '번아웃'...극복하려면,"정신적으로나 신체적으로 극도의 피로를 의미하는 번아웃은 감정적, 신체적, 정신적 스트레스에 오랫동안 시달리는 사람이라면 누구에게나 찾아올 수 있다. 번아웃은 여러 가지 양상으로 나타나기 때문에 증상을 잘 살피고 대처",https://n.news.naver.com/article/296/0000063857
6,[자막뉴스] 270년 전통 초가 새 지붕 단장했지만.. 점점 '사라질  위기',"제주시 삼도2동 박씨초가 / 오늘(9일) 오전 누렇게 잘 마른 이엉재를 힘껏 던져 올립니다. 예스러운 초가지붕 위에선 새 지붕을 잇는 손길이 분주합니다. 봄을 맞아, 세월에 낡아버린 지붕을 걷어내고 띠를 엮어 만든 ",https://n.news.naver.com/article/661/0000021640
7,넷플릭스 '나는 신이다'가 소환한 동아일보 편집국 난동 사건과 조선일보의 사과,국내 사이비 종교 실체를 고발한 넷플릭스 다큐멘터리 <나는 신이다: 신이 배신한 사람들>에 반응이 뜨겁다. 다큐가 다룬 여러 사이비 가운데서도 기독교복음선교회(JMS) 총재 정명석씨의 충격적 성범죄가 시청자 공분을 ,https://n.news.naver.com/article/006/0000117162
8,School violence countermeasures 'ineffective': study,"Existing countermeasures against school violence in Korea were found to have been mostly ineffective, with preventative ",https://n.news.naver.com/article/044/0000244242
9,"고백 스무 번 만에 커플, 980일 만에 결혼한 발달장애인",“하루 중에 1분 1초 다르듯 날마다 넌 새로워져~.” 샤이니의 노래 <원오브원>에 맞춰 신랑 안태훈(25)씨가 전동휠체어를 타고 들어왔다. 턱시도를 입은 그는 이쪽저쪽 하객을 보며 사진 찍을 시간을 줬다. 신랑 입,https://n.news.naver.com/article/036/0000047866
10,"[JTBC 여론조사] 윤 대통령 당선 1년…국민 46% ""한국 사회 더 나빠졌다""",1년 전인 지난해 오늘(9일)은 수많은 약속들이 있었던 대통령 선거일이었습니다. 초박빙 접전 이후 한 사람은 대통령이 됐고 또 한 사람은 대선에선 떨어졌지만 제1야당의 당대표가 됐습니다. 대선 1년을 맞아 JTBC가,https://n.news.naver.com/article/437/0000334977
11,"""귀신 붙었다"" 퇴마의식 빙자해 성추행…법원 판단은?","“귀신이 붙어 있다” “쫓아내지 않으면 가족이 죽는다” 등의 말로 피해자들을 속여 퇴마의식이라며 성추행, 유사강간 등의 범죄를 저지른 무속인에 대한 재판이 열렸다. 40대 무속인 A씨는 이 같은 방법으로 수십 명의 ",https://n.news.naver.com/article/031/0000733345
12,"'尹 엄석대' 이준석에 김종혁 ""대통령이 깡패인가..너무 나가, 천아용인 폭망""[여의도초대석]",△유재광 앵커: 서울광역방송센터입니다. 국민의힘 전당대회에서 김기현 대표가 집권여당 새 당 대표로 선출됐습니다. 5명의 최고위원도 모두 윤심을 받은 이른바 친윤 후보들로 채워졌습니다. ‘여의도초대석’ 국민의힘 전당대,https://n.news.naver.com/article/660/0000029721
